CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Purchase Frequency,Revenue,CLV,Date
1082,Female,25,19.7,66,23,387.7,1127.12,2026-03-19
1083,Female,22,27.4,79,21,399.24,1669.2,2025-12-20
1084,Male,46,20.4,73,19,380.28,1083.19,2025-07-21
1085,Female,64,32.7,81,48,439.14,1941.7,2026-02-26
1086,Female,21,21.1,79,19,345.32,1150.53,2026-04-20
1087,Male,29,23.4,74,36,368.86,1546.43,2026-03-04
1088,Female,62,29.1,68,29,424.08,1593.49,2025-10-19
1089,Female,19,18.8,63,18,378.21,1501.77,2026-03-02
1090,Male,44,26.1,71,2,391.52,1579.96,2026-03-17
1091,Male,48,31.5,82,1,383.13,1344.67,2026-04-30
1092,Female,68,17.0,77,47,361.7,1297.26,2025-07-22
1093,Female,68,25.9,65,5,491.28,1733.24,2025-06-27
1094,Male,53,26.3,76,20,406.32,1493.69,2025-11-04
1095,Male,53,28.9,78,11,340.29,870.73,2026-01-25
1096,Male,43,18.8,68,42,336.29,1106.75,2025-11-03
1097,Female,60,18.4,76,2,340.09,1262.56,2026-03-18
1098,Female,44,27.6,75,3,404.0,1492.97,2025-10-14
1099,Male,22,26.5,66,23,421.69,1722.99,2025-10-22
1100,Female,37,89.3,15,12,402.08,1531.92,2025-09-14
1101,Female,28,91.7,32,20,530.86,2380.51,2025-11-05
1102,Male,27,98.0,42,5,604.71,1855.07,2025-10-24
1103,Male,57,97.6,33,37,581.05,1870.0,2025-06-02
1104,Female,55,68.5,13,38,213.26,696.86,2025-08-16
1105,Female,23,73.7,21,30,319.99,1098.1,2025-10-10
1106,Female,25,91.2,35,9,490.13,2044.84,2025-08-29
1107,Female,40,91.2,19,34,374.75,1113.61,2026-05-11
1108,Male,64,91.2,29,44,485.66,1967.9,2026-05-16
1109,Male,43,131.2,31,35,599.37,1984.29,2026-02-18
1110,Female,63,91.9,18,22,316.21,1171.16,2026-05-17
1111,Male,60,98.6,25,44,490.61,1847.2,2025-09-16
1112,Male,29,96.4,1,24,197.87,642.23,2025-08-13
1113,Male,43,92.8,17,17,361.08,1272.9,2025-07-09
1114,Male,30,81.2,23,10,414.19,1377.61,2025-11-06
1115,Male,57,94.1,15,30,343.27,905.64,2025-08-10
1116,Male,35,75.7,38,46,490.37,1654.68,2026-04-08
1117,Male,42,82.2,14,23,362.92,977.99,2026-01-27
1118,Male,50,79.2,21,32,377.63,1249.99,2026-03-25
1119,Female,64,86.0,26,17,467.09,1721.61,2025-07-06
1120,Female,57,112.8,37,17,639.21,2338.75,2025-08-23
1121,Female,60,62.6,14,14,385.43,1474.35,2026-02-18
1122,Female,29,93.2,34,9,540.32,1453.73,2026-04-06
1123,Female,61,65.6,25,40,396.55,1508.59,2025-11-19
1124,Male,53,79.3,17,2,391.13,1222.0,2025-11-20
1125,Female,65,98.1,29,45,484.6,1598.27,2026-05-28
1126,Female,21,85.8,27,25,396.19,1670.35,2025-07-17
1127,Female,22,72.1,20,39,321.86,810.45,2025-10-19
1128,Male,54,76.4,26,9,372.08,1368.08,2025-09-26
1129,Male,25,93.2,22,22,356.66,1318.71,2026-03-04
1130,Male,59,76.2,26,43,413.4,1361.47,2025-12-31
1131,Male,66,87.6,30,46,433.92,1290.5,2026-01-06
1132,Female,45,85.5,38,4,532.15,1580.15,2025-06-26
1133,Female,48,77.2,15,26,308.59,1316.88,2025-06-09
1134,Male,26,110.7,42,29,663.69,2245.94,2026-02-26
1135,Female,68,92.6,9,45,314.7,995.01,2025-06-10
1136,Female,46,60.7,24,34,317.28,1077.98,2025-09-29
1137,Male,31,87.2,30,23,491.1,1885.21,2025-10-03
1138,Male,57,77.1,27,37,488.33,1363.19,2025-11-17
1139,Male,58,95.2,20,11,407.79,1386.02,2025-08-11
1140,Male,39,75.5,23,6,337.05,1238.92,2025-10-30
1141,Male,28,83.6,21,18,345.33,1518.46,2025-12-25
1142,Male,40,91.1,20,21,372.3,1118.79,2025-07-19
1143,Male,18,95.4,32,42,473.56,1524.16,2025-11-01
1144,Male,63,70.6,28,36,347.1,1131.09,2026-05-13
1145,Female,54,81.0,19,41,365.29,1355.63,2026-03-20
1146,Male,38,79.3,32,38,444.26,1427.62,2025-08-07
1147,Female,43,77.2,27,34,421.36,1502.98,2025-07-20
1148,Male,63,106.2,32,17,593.83,2413.09,2025-10-30
1149,Female,53,89.9,30,37,458.09,1791.5,2025-06-19
1150,Male,40,75.1,82,25,759.81,2577.85,2025-09-08
1151,Male,18,78.3,92,38,898.67,3799.96,2025-07-30
1152,Female,68,94.0,87,12,1054.74,3814.22,2025-11-14
1153,Female,57,92.3,79,23,960.62,3438.84,2025-12-19
1154,Female,32,84.7,80,42,902.64,2318.31,2026-05-11
1155,Male,38,86.4,72,22,790.73,3537.23,2025-10-24
1156,Male,64,100.3,80,21,1038.76,2852.39,2025-11-11
1157,Female,26,77.9,78,27,854.06,2529.96,2026-01-28
1158,Female,26,91.6,83,31,921.39,2398.74,2025-08-08
1159,Female,27,82.6,73,6,803.86,3038.61,2025-11-22
1160,Female,69,82.4,84,27,994.35,2932.75,2025-07-19
1161,Male,43,98.2,92,40,1068.88,3057.03,2025-09-16
1162,Female,58,94.9,79,34,865.73,2317.65,2026-01-12
1163,Male,52,94.8,83,12,1057.7,2862.78,2025-11-08
1164,Male,69,100.7,86,45,1117.74,4101.35,2025-09-27
1165,Male,42,85.3,77,7,831.8,3224.42,2025-10-27
1166,Female,43,93.2,82,10,956.52,3151.51,2025-10-28
1167,Male,28,81.3,80,45,789.79,2732.5,2026-03-20
1168,Male,55,88.9,81,17,922.51,3571.91,2025-10-21
1169,Female,19,83.4,74,26,874.2,2215.89,2025-11-07
1170,Male,24,86.2,80,21,863.87,2717.96,2025-06-11
1171,Female,35,92.1,84,28,1017.7,4524.89,2025-10-16
1172,Male,44,75.2,92,46,911.92,3337.82,2025-08-17
1173,Female,51,110.1,88,2,1194.26,3592.87,2025-08-16
1174,Female,44,72.9,97,43,884.83,3135.35,2026-02-09
1175,Male,34,70.4,74,1,702.47,2237.59,2026-02-13
1176,Male,60,98.9,87,36,967.86,3449.91,2026-04-16
1177,Male,61,94.5,81,26,941.53,2590.59,2026-03-18
1178,Male,68,92.5,98,29,1160.12,3208.22,2026-02-18
1179,Female,41,92.5,74,21,834.01,2324.47,2025-08-24
1180,Male,42,84.9,73,11,782.81,3428.41,2025-10-24
1181,Female,24,74.2,75,40,790.28,3134.08,2026-04-19
1182,Male,69,85.9,63,11,761.45,2150.9,2025-07-12
1183,Female,23,76.9,76,36,817.15,2350.7,2025-10-03
1184,Female,41,96.7,74,49,856.72,3394.04,2025-11-14
1185,Female,50,83.2,81,39,1004.1,2823.86,2026-01-27
1186,Female,66,75.1,83,40,760.5,2258.0,2026-03-07
1187,Male,46,81.1,95,35,978.65,4332.19,2025-12-05
1188,Male,60,90.0,88,34,980.11,2950.72,2026-03-29
1189,Female,39,78.2,75,47,730.44,2792.68,2025-06-19
1190,Female,43,75.1,73,24,728.56,3247.36,2025-08-07
1191,Female,45,87.9,84,22,939.16,3050.95,2026-01-04
1192,Male,67,87.9,69,5,778.14,1972.6,2025-09-10
1193,Female,38,78.9,95,33,993.82,2969.83,2025-07-12
1194,Female,66,79.3,89,36,901.57,3752.1,2026-03-15
1195,Male,24,87.8,76,47,802.26,3392.95,2025-11-14
1196,Male,34,67.6,66,20,577.0,2329.37,2025-09-17
1197,Female,37,68.1,91,19,848.96,2314.46,2025-07-06
1198,Female,58,76.4,79,35,729.69,2985.19,2026-01-18
1199,Female,66,82.4,90,43,956.97,4150.7,2026-01-15
